BIO_PRS_IDE;BIO_INF_LIB;BIO_CRE_DAT;BIO_SUP_DAT;BIO_ARB_CHA;BIO_ARB_SC1;BIO_ARB_SC2;BIO_ARB_SC3;BIO_ARB_SC4;BIO_ARB_BAS;BIO_PHY_GRP;BIO_GRP_LIB;BIO_HIS_DTD;BIO_HIS_DTF;BIO_ENP_TOP;BIO_TUX_TOP;BIO_MAX_EXE;BIO_SPE_REG;BIO_MAX_REG;BIO_MED_REF;BIO_RES_TOP;BIO_BIO_INV;BIO_SNG_TOP;BIO_TAR_NAT;BIO_TAR_COF
215;BACTERIE ANAEROBIE NOMMEMENT DESIGNEE : RECH. ISOLEE;01JAN1996:00:00:00;;6;1;0;0;0;25.000000;90;AUTRES (tous les autres codes);30JUL1997:00:00:00;;;;0;;0;;;;;B;80.00
218;POLYNUCLEAIRES EOSINOPHILES DANS UNE SECRETION : RECH ISOLEE;01JAN1996:00:00:00;;6;2;0;0;0;1.000000;90;AUTRES (tous les autres codes);30JUL1997:00:00:00;;;;0;;0;;;;;B;15.00
219;CULOT URINAIRE CYTOLOGIE URINES AVEC ETUDE DES   CRISTAUX;01JAN1996:00:00:00;;6;2;0;0;0;2.000000;90;AUTRES (tous les autres codes);14APR2018:00:00:00;;;;1;;0;;;;;B;25.00
220;DEBIT URIN. HEMATIES ET LEUCOCYTES PAR MINUTE (ADDIS, H.L.M,CULOT URIN QUANT);01JAN1996:00:00:00;;6;2;0;0;0;3.000000;90;AUTRES (tous les autres codes);30JUL1997:00:00:00;;;;1;;0;;;;;B;25.00
221;DEBIT URIN. HEMATIES ET LEUCOCYTES PAR MILLILITRE (CULOT URIN QUANT);01JAN1996:00:00:00;;6;2;0;0;0;4.000000;90;AUTRES (tous les autres codes);30JUL1997:00:00:00;;;;1;;0;;;;;B;25.00
236;ISOL. ET/OU IDENTIF. D'UNE BACTERIE PAR POUVOIR PATHOGENE (ANIMAL);01JAN1996:00:00:00;;6;3;0;0;0;2.000000;90;AUTRES (tous les autres codes);30JUL1997:00:00:00;;;;0;;0;;;1;;B;50.00
237;IDENTIF. D'UNE TOXINE BACTERIENNE PAR TECHN. IMMUNOLOGIQUE;01JAN1996:00:00:00;;6;3;0;0;0;3.000000;90;AUTRES (tous les autres codes);29JUN2018:00:00:00;;;;0;;0;;;1;;B;50.00
238;IDENTIF. D'UNE TOXINE BACTERIENNE : PAR POUVOIR PATHOGENE (ANIMAL);01JAN1996:00:00:00;;6;3;0;0;0;4.000000;90;AUTRES (tous les autres codes);30JUL1997:00:00:00;;;;0;;0;;;1;;B;100.00
239;TOXINOTYPIE BOTULIQUE;01JAN1996:00:00:00;;6;3;0;0;0;5.000000;90;AUTRES (tous les autres codes);01JAN1996:00:00:00;;;;0;;0;;1;1;;B;200.00
240;MYCOBACTERIES : EXAMEN MICROSCOPIQUE;01JAN1996:00:00:00;;6;3;0;0;0;10.000000;25;INFECTIONS A MYCOBACTERIES;29JUN2018:00:00:00;;;;0;;0;;;1;;B;30.00
241;MYCOBACTERIES : CULT. D'ISOL SUR MILIEU SOLIDE (SAUF A PARTIR PRODUIT SOLIDE);01JAN1996:00:00:00;;6;3;0;0;0;11.000000;25;INFECTIONS A MYCOBACTERIES;30JUL1997:00:00:00;;;;0;;0;;;1;;B;40.00
242;MYCOBACTERIES : CULT. D'ISOL SUR MILIEU SOLIDE A PARTIR D'UN PRODUIT SOLIDE;01JAN1996:00:00:00;;6;3;0;0;0;12.000000;25;INFECTIONS A MYCOBACTERIES;30JUL1997:00:00:00;;;;0;;0;;;1;;B;60.00
243;MYCOBACTERIES : IDENTIFICATION BIOCHIMIQUE DE MYCOBACTERIUM TUBERCULOSIS;01JAN1996:00:00:00;;6;3;0;0;0;15.000000;25;INFECTIONS A MYCOBACTERIES;11AUG1997:00:00:00;;;;0;;0;;;1;;B;40.00
244;MYCOBACTERIES : IDENTIF. BIOCH AUTRE QUE MYCOBACTERIUM TUBERCULOSIS;01JAN1996:00:00:00;;6;3;0;0;0;16.000000;25;INFECTIONS A MYCOBACTERIES;30JUL1997:00:00:00;;;;0;;0;;;1;;B;100.00
246;SPIROCHETES : RECH. PAR EX. DIRECT (COLOR. OU IF);01JAN1996:00:00:00;04SEP2014:00:00:00;6;3;0;0;0;17.000000;90;AUTRES (tous les autres codes);01JAN1996:00:00:00;04SEP2014:00:00:00;;;0;;0;;;;;B;40.00
247;SPIROCHETES : ISOLEMENT DES LEPTOSPIRES PAR CULTURE;01JAN1996:00:00:00;04SEP2014:00:00:00;6;3;0;0;0;18.000000;90;AUTRES (tous les autres codes);01JAN1996:00:00:00;04SEP2014:00:00:00;;;0;;0;;;;;B;80.00
248;SPIROCHETES : ISOLEMENT DES LEPTOSPIRES PAR INOCUL. A ANIMAL;01JAN1996:00:00:00;04SEP2014:00:00:00;6;3;0;0;0;19.000000;90;AUTRES (tous les autres codes);01JAN1996:00:00:00;04SEP2014:00:00:00;;;0;;0;;;;;B;150.00
249;SPIROCHETES : SEROTYPE D'UN LEPTOSPIRE ISOLE PAR CULTURE;01JAN1996:00:00:00;04SEP2014:00:00:00;6;3;0;0;0;20.000000;90;AUTRES (tous les autres codes);30JUL1997:00:00:00;04SEP2014:00:00:00;;;0;;0;;;;;B;200.00
250;RICKETTSIALES : EX. DIRECT ET ISOLEMENT;01JAN1996:00:00:00;;6;3;0;0;0;22.000000;90;AUTRES (tous les autres codes);01JAN1996:00:00:00;;;;1;;0;;1;;;B;100.00
252;EX. MICROBIO. : ISOL ET/OU IDENT LEVURE AUTRE QUE C ALBICANS OU ESPECE FILAM;01JAN1996:00:00:00;;6;4;0;0;0;1.000000;90;AUTRES (tous les autres codes);30JUL1997:00:00:00;;;;0;;0;;;1;;B;50.00
253;EX. MYCO ISOLE : IDENTIF DE GENRE LEVURES ET CHAMPIGNONS FILAMENTEUX;01JAN1996:00:00:00;;6;4;0;0;0;2.000000;17;MICROBIOLOGIE COURANTE;30JUL1997:00:00:00;;;;0;;0;;;;;B;70.00
254;MALASSEZIA FURFUR (PITYRIASIS VERSICOLOR);01JAN1996:00:00:00;;6;4;0;0;0;4.000000;90;AUTRES (tous les autres codes);30JUL1997:00:00:00;;;;0;;0;;;;;B;15.00
