ETB_STJ_COD;ETB_PPU_SEC;ETB_STJ_LIB;ETB_ORG_TYP;ETB_ORG_LIB;TEC_COL
10;1;ETABLISSEMENT D HOSPITALISATION NATIONAL;2;ETABLISSEMENTS PUBLICS;0
11;1;ETABLISSEMENT D HOSPITALISATION DEPARTEMENTAL;2;ETABLISSEMENTS PUBLICS;0
12;1;ETABLISSEMENT D HOSPITALISATION INTER-DEPARTEMENTAL;2;ETABLISSEMENTS PUBLICS;0
13;1;ETABLISSEMENT D HOSPITALISATION COMMUNAL;2;ETABLISSEMENTS PUBLICS;0
14;1;ETABLISSEMENT D HOSPITALISATION INTER-COMMUNAL;2;ETABLISSEMENTS PUBLICS;0
15;1;ETABLISSEMENT D HOSPITALISATION REGIONAL;2;ETABLISSEMENTS PUBLICS;0
16;1;SYNDICAT INTERHOSPITALIER;2;ETABLISSEMENTS PUBLICS;0
17;1;CENTRE COMMUNAL OU INTERCOMMUNAL D ACTIONSOCIALE;2;ETABLISSEMENTS PUBLICS;0
18;1;ETABLISSEMENTSOCIALET MEDICO-SOCIAL NATIONAL;2;ETABLISSEMENTS PUBLICS;0
19;1;ETABLISSEMENTSOCIALET MEDICO-SOCIAL DEPARTEMENTAL;2;ETABLISSEMENTS PUBLICS;0
1;1;ETAT;1;ETAT ET COLLECTIVITES TERRITORIALES;0
20;1;ETABLISSEMENTSOCIALET MEDICO-SOCIAL INTERDEPARTEMENTAL;2;ETABLISSEMENTS PUBLICS;0
21;1;ETABLISSEMENTSOCIALET MEDICO-SOCIAL COMMUNAL;2;ETABLISSEMENTS PUBLICS;0
22;1;ETABLISSEMENTSOCIALET MEDICO-SOCIAL INTERCOMMUNAL;2;ETABLISSEMENTS PUBLICS;0
23;1;ETABLISSEMENTSOCIALET MEDICO-SOCIAL REGIONAL;2;ETABLISSEMENTS PUBLICS;0
26;1;AUTRE ETABLISSEMENT PUBLIC A CARACTERE ADMINISTRATIF;2;ETABLISSEMENTS PUBLICS;0
27;1;ETABLISSEMENT PUBLIC A CARACTERE INDUSTRIELET COMMERCIAL NATIONAL;2;ETABLISSEMENTS PUBLICS;0
28;1;GROUPEMENT D INTERET PUBLIC (G.I.P.);2;ETABLISSEMENTS PUBLICS;0
29;1;GROUPEMENT DE COOPERATIONSANITAIRE (GCS) A GESTION  PUBLIQUE;2;ETABLISSEMENTS PUBLICS;0
2;1;DEPARTEMENT;1;ETAT ET COLLECTIVITES TERRITORIALES;0
3;1;COMMUNE;1;ETAT ET COLLECTIVITES TERRITORIALES;0
